# {"t_start": 1555742577.155676, "env_id": null} 
r,l,t
18.0,18,1.564959
31.0,31,1.585942
25.0,25,1.602476
41.0,41,1.62901
32.0,32,1.650106
33.0,33,1.671636
51.0,51,1.706685
32.0,32,2.336717
36.0,36,2.364005
36.0,36,2.395182
37.0,37,2.421846
31.0,31,2.444682
24.0,24,2.462378
32.0,32,2.485427
59.0,59,2.613506
39.0,39,2.643217
51.0,51,2.68593
35.0,35,2.71743
28.0,28,2.738666
41.0,41,2.768329
30.0,30,2.789913
32.0,32,2.876197
34.0,34,2.907315
37.0,37,2.935706
29.0,29,2.95674
33.0,33,2.98005
37.0,37,3.009223
24.0,24,3.028822
28.0,28,3.050408
33.0,33,3.129475
37.0,37,3.161899
30.0,30,3.184383
45.0,45,3.221707
34.0,34,3.249032
58.0,58,3.292721
46.0,46,3.328087
38.0,38,3.411947
31.0,31,3.434411
33.0,33,3.459433
39.0,39,3.489118
33.0,33,3.512146
28.0,28,3.534503
29.0,29,3.556693
39.0,39,3.63964
36.0,36,3.669543
42.0,42,3.701494
30.0,30,3.725662
31.0,31,3.748706
39.0,39,3.777156
53.0,53,3.815649
30.0,30,3.892871
36.0,36,3.933594
42.0,42,3.968471
29.0,29,3.987865
31.0,31,4.011993
30.0,30,4.033909
27.0,27,4.057109
29.0,29,4.080006
34.0,34,4.163278
40.0,40,4.197056
25.0,25,4.2152
24.0,24,4.232682
35.0,35,4.259657
37.0,37,4.286023
36.0,36,4.313155
52.0,52,4.404815
26.0,26,4.428985
27.0,27,4.448948
25.0,25,4.467171
31.0,31,4.489418
36.0,36,4.516172
37.0,37,4.546435
30.0,30,4.568812
23.0,23,4.585571
58.0,58,4.684276
25.0,25,4.705351
27.0,27,4.725462
31.0,31,4.762179
28.0,28,4.791554
42.0,42,4.821557
41.0,41,4.852163
39.0,39,4.94119
40.0,40,4.973566
31.0,31,4.996384
37.0,37,5.025593
32.0,32,5.05208
52.0,52,5.092237
42.0,42,5.18251
40.0,40,5.218039
46.0,46,5.2525
26.0,26,5.270829
26.0,26,5.289837
39.0,39,5.318832
43.0,43,5.356907
26.0,26,5.38029
50.0,50,5.495129
39.0,39,5.531047
26.0,26,5.55526
39.0,39,5.592864
30.0,30,5.619213
24.0,24,5.641008
28.0,28,5.668226
41.0,41,5.757155
48.0,48,5.798082
24.0,24,5.818956
25.0,25,5.839923
36.0,36,5.876483
38.0,38,5.909671
34.0,34,5.939728
39.0,39,6.046035
33.0,33,6.094055
36.0,36,6.136934
35.0,35,6.170473
43.0,43,6.21051
48.0,48,6.252387
43.0,43,6.285569
26.0,26,6.359664
47.0,47,6.399901
43.0,43,6.437462
37.0,37,6.480175
30.0,30,6.512967
39.0,39,6.557571
32.0,32,6.586139
48.0,48,6.69141
21.0,21,6.712104
38.0,38,6.745126
31.0,31,6.77146
38.0,38,6.8062
43.0,43,6.843576
45.0,45,6.88587
38.0,38,6.992698
43.0,43,7.025214
39.0,39,7.05486
26.0,26,7.075244
39.0,39,7.110655
27.0,27,7.135174
39.0,39,7.169123
31.0,31,7.262684
25.0,25,7.287123
38.0,38,7.321936
30.0,30,7.350819
42.0,42,7.387702
30.0,30,7.415216
34.0,34,7.443565
43.0,43,7.543024
42.0,42,7.587006
33.0,33,7.614879
44.0,44,7.653802
44.0,44,7.68657
43.0,43,7.725861
29.0,29,7.751138
29.0,29,8.0315
39.0,39,8.139435
36.0,36,8.213228
35.0,35,8.269699
48.0,48,8.34003
32.0,32,8.392285
39.0,39,8.471207
30.0,30,8.65164
47.0,47,8.716625
35.0,35,8.755263
37.0,37,8.807943
58.0,58,8.935963
26.0,26,8.994923
45.0,45,9.131412
32.0,32,9.170077
29.0,29,9.202546
27.0,27,9.253215
47.0,47,9.35869
26.0,26,9.419457
37.0,37,9.498807
51.0,51,9.551121
51.0,51,9.682001
27.0,27,9.712152
42.0,42,9.747856
28.0,28,9.778133
28.0,28,9.8012
38.0,38,9.839691
26.0,26,9.888774
38.0,38,10.093785
35.0,35,10.164905
30.0,30,10.188988
31.0,31,10.232337
32.0,32,10.304684
27.0,27,10.364841
46.0,46,10.454493
