EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
36.8,15,552,15,0.17607802,0.17607802,1.5954570770263672,0.006971495,0.0,0.24089592695236206,39.707718,36.8
34.766666666666666,15,1043,30,0.16798344,0.16798344,2.355186939239502,0.0069144755,0.0,0.5936988294124603,39.72302,34.766666666666666
32.7,15,1520,45,0.18657826,0.18657826,3.119969129562378,0.0072893696,0.0,0.6812557876110077,39.704796,32.7
32.625,14,1998,59,0.19160846,0.19160846,3.903240919113159,0.007117792,0.0,0.6814886927604675,39.692924,32.625
33.4,15,2502,74,0.18855694,0.18855694,4.764711141586304,0.0072004464,0.0,0.5276826620101929,39.688114,33.4
34.475,15,3046,89,0.1811297,0.1811297,5.691087245941162,0.0069973003,0.0,0.5754834711551666,39.653893,34.475
36.175,14,3583,103,0.23233265,0.23233265,6.729383230209351,0.0073993336,0.0,0.5845504701137543,39.65885,36.175
36.875,15,4115,118,0.18885222,0.18885222,8.34276819229126,0.0067411065,0.0,0.32681846618652344,39.624214,36.875
37.275,14,4655,132,0.18931805,0.18931805,10.02092432975769,0.006776141,0.0,0.5875762701034546,39.604855,37.275
37.525,13,5161,145,0.18546566,0.18546566,11.755442142486572,0.006900977,0.0,0.6264479160308838,39.62659,37.525
39.875,12,5677,157,0.20645508,0.20645508,13.264455318450928,0.0067665977,0.0,0.2889915108680725,39.623825,39.875
39.8,15,6247,172,0.1931785,0.1931785,14.387391090393066,0.0069846665,0.0,0.5215407013893127,39.63118,39.8
39.7,12,6709,184,0.18490344,0.18490344,15.354422092437744,0.0068287207,0.0,0.6503128707408905,39.6328,39.7
40.95,11,7203,195,0.19119129,0.19119129,16.384427070617676,0.0066510467,0.0,0.5329967439174652,39.647423,40.95
39.7,13,7698,208,0.19055569,0.19055569,17.358524322509766,0.007144451,0.0,0.7514604926109314,39.640736,39.7
40.125,13,8191,221,0.19392976,0.19392976,18.37879705429077,0.0071779136,0.0,0.6325632929801941,39.65107,40.125
38.675,13,8703,234,0.21275723,0.21275723,19.395549297332764,0.006944827,0.0,0.6770715713500977,39.63594,38.675
39.675,12,9192,246,0.19118541,0.19118541,20.29896903038025,0.007089536,0.0,0.8120074272155762,39.600998,39.675
39.425,13,9696,259,0.20510134,0.20510134,21.30337619781494,0.006875721,0.0,0.7467317879199982,39.600956,39.425
41.225,12,10222,271,0.2151314,0.2151314,22.20127511024475,0.0071795858,0.0,0.6582750380039215,39.60998,41.225
41.4,13,10737,284,0.19997455,0.19997455,23.05041217803955,0.0072428943,0.0,0.610135406255722,39.54823,41.4
42.65,12,11263,296,0.20073824,0.20073824,24.115540981292725,0.007138364,0.0,0.8673436492681503,39.530716,42.65
41.5,11,11737,307,0.18713725,0.18713725,25.25693917274475,0.0073916623,0.0,0.7241343259811401,39.52612,41.5
44.7,11,12295,318,0.2006993,0.2006993,26.216917991638184,0.007212244,0.0,0.7353357672691345,39.477463,44.7
46.075,11,12792,329,0.20303045,0.20303045,27.24107003211975,0.006803526,0.0,0.7580690681934357,39.478024,46.075
47.425,11,13311,340,0.23808336,0.23808336,28.27141809463501,0.007103653,0.0,0.6261298656463623,39.475502,47.425
48.325,10,13825,350,0.20919867,0.20919867,29.26440119743347,0.0073607475,0.0,0.6644209027290344,39.492565,48.325
48.575,10,14308,360,0.18647048,0.18647048,30.269726991653442,0.007902282,0.0,0.7704731971025467,39.510826,48.575
48.825,11,14819,371,0.22999313,0.22999313,31.30323100090027,0.007530405,0.0,0.7304206490516663,39.50513,48.825
47.825,11,15315,382,0.19783603,0.19783603,32.126657009124756,0.0074796756,0.0,0.7201618254184723,39.490646,47.825
47.5,9,15784,391,0.20246106,0.20246106,32.96479630470276,0.007963719,0.0,0.8327419608831406,39.458485,47.5
